mechanism,XH2_fuel,P_atm,T_K,1000/T,phi,diluent,label,IDT_s,IDT_ms
Full,0.0,10.0,1950.0,0.5128205128205128,1.0,N2,,0.00048701106370464223,0.48701106370464226
Full,0.0,10.0,2000.0,0.5,1.0,N2,,0.00029283173256877644,0.2928317325687764
Full,0.05,1.2,1050.0,0.9523809523809523,1.0,N2,,0.2910999563409797,291.0999563409797
Full,0.05,1.2,1100.0,0.9090909090909091,1.0,N2,,0.12724178323315827,127.24178323315827
Full,0.05,1.2,1150.0,0.8695652173913043,1.0,N2,,0.04995389338511041,49.953893385110405
Full,0.05,1.2,1200.0,0.8333333333333334,1.0,N2,,0.019852251026393566,19.852251026393567
Full,0.05,1.2,1250.0,0.8,1.0,N2,,0.008890936521904133,8.890936521904132
Full,0.05,1.2,1300.0,0.7692307692307693,1.0,N2,,0.004555986266708399,4.555986266708399
Full,0.05,1.2,1350.0,0.7407407407407407,1.0,N2,,0.011609698496860683,11.609698496860682
Full,0.05,1.2,1400.0,0.7142857142857143,1.0,N2,,0.009046374780767336,9.046374780767335
Full,0.05,1.2,1450.0,0.6896551724137931,1.0,N2,,0.01109501434926086,11.09501434926086
Full,0.05,1.2,1500.0,0.6666666666666666,1.0,N2,,0.008214713771794403,8.214713771794402
Full,0.05,1.2,1550.0,0.6451612903225806,1.0,N2,,0.009060178714626282,9.060178714626282
Full,0.05,1.2,1600.0,0.625,1.0,N2,,0.0057505762489459085,5.750576248945908
Full,0.05,1.2,1650.0,0.6060606060606061,1.0,N2,,0.008196905129755832,8.196905129755832
Full,0.05,1.2,1700.0,0.5882352941176471,1.0,N2,,0.01995626378124144,19.956263781241443
Full,0.05,1.2,1750.0,0.5714285714285714,1.0,N2,,0.008760424261207912,8.760424261207913
Full,0.05,1.2,1800.0,0.5555555555555556,1.0,N2,,0.004200940066894828,4.200940066894828
Full,0.05,1.2,1850.0,0.5405405405405406,1.0,N2,,0.003764682372601816,3.7646823726018157
Full,0.05,1.2,1900.0,0.5263157894736842,1.0,N2,,0.004864177658832156,4.864177658832157
Full,0.05,1.2,1950.0,0.5128205128205128,1.0,N2,,0.0038755301763558738,3.875530176355874
Full,0.05,1.2,2000.0,0.5,1.0,N2,,0.003253452685725686,3.253452685725686
Full,0.05,10.0,1050.0,0.9523809523809523,1.0,N2,,0.026683152656186523,26.68315265618652
Full,0.05,10.0,1100.0,0.9090909090909091,1.0,N2,,0.015402564814239817,15.402564814239817
Full,0.05,10.0,1150.0,0.8695652173913043,1.0,N2,,0.009240315756272018,9.240315756272018
Full,0.05,10.0,1200.0,0.8333333333333334,1.0,N2,,0.005636609062000907,5.636609062000907
Full,0.05,10.0,1250.0,0.8,1.0,N2,,0.0034225749298164646,3.4225749298164647
Full,0.05,10.0,1300.0,0.7692307692307693,1.0,N2,,0.002040852897959666,2.040852897959666
