mechanism,XH2_fuel,P_atm,T_unburned_K,phi,Su_m_s
Optimized,1.0,1.0,298.0,1.3,2.898539069378157
Optimized,1.0,1.0,298.0,1.4,2.9935164431461208
Full,0.0,1.0,298.0,1.0,0.07514977990503931
Full,0.1,1.0,298.0,1.0,0.10080200383023227
Full,0.2,1.0,298.0,1.0,0.14073779826213106
Full,0.3,1.0,298.0,1.0,0.203195032113843
Full,0.4,1.0,298.0,1.0,0.29754435519510186
Full,0.5,1.0,298.0,1.0,0.433296165412362
Full,0.6,1.0,298.0,1.0,0.6189283606107666
Full,0.7,1.0,298.0,1.0,0.8615555455960208
Full,0.8,1.0,298.0,1.0,1.1945461351547764
Full,0.9,1.0,298.0,1.0,1.641279227236698
Full,1.0,1.0,298.0,1.0,2.334732808796971
Full,0.0,3.0,298.0,1.0,0.05227151615809058
Full,0.1,3.0,298.0,1.0,0.06774750652543962
Full,0.2,3.0,298.0,1.0,0.09044421104873357
Full,0.3,3.0,298.0,1.0,0.12471255968608032
Full,0.4,3.0,298.0,1.0,0.17734114524578903
Full,0.5,3.0,298.0,1.0,0.2602119382838069
Full,0.6,3.0,298.0,1.0,0.3884738568299575
Full,0.7,3.0,298.0,1.0,0.5773495280169495
Full,0.8,3.0,298.0,1.0,0.8689901076944083
Full,0.9,3.0,298.0,1.0,1.3147459993194484
Full,1.0,3.0,298.0,1.0,2.157412526595821
Full,0.0,5.0,298.0,1.0,0.04299717921666111
Full,0.1,5.0,298.0,1.0,0.054980695855119215
Full,0.2,5.0,298.0,1.0,0.07234163736461752
Full,0.3,5.0,298.0,1.0,0.09747329300391641
Full,0.4,5.0,298.0,1.0,0.1363773912991623
Full,0.5,5.0,298.0,1.0,0.1969094988337833
Full,0.6,5.0,298.0,1.0,0.2943933663010644
Full,0.7,5.0,298.0,1.0,0.4495008312361753
Full,0.8,5.0,298.0,1.0,0.6964064896375279
Full,0.9,5.0,298.0,1.0,1.1241001679945735
Full,1.0,5.0,298.0,1.0,1.9698704591058622
Reduced,0.0,1.0,298.0,1.0,0.06768604717022302
Reduced,0.1,1.0,298.0,1.0,0.08654968673630596
Reduced,0.2,1.0,298.0,1.0,0.11494063206770011
Reduced,0.3,1.0,298.0,1.0,0.15971178055823917
Reduced,0.4,1.0,298.0,1.0,0.23943776353325522
Reduced,0.5,1.0,298.0,1.0,0.3791565101975895
Reduced,0.6,1.0,298.0,1.0,0.6013224147467815
Reduced,0.7,1.0,298.0,1.0,0.8988492740962981
Reduced,0.8,1.0,298.0,1.0,1.2704840303548435
Reduced,0.9,1.0,298.0,1.0,1.7217402277948028
Reduced,1.0,1.0,298.0,1.0,2.38837811917068
Reduced,0.0,3.0,298.0,1.0,0.05452963753656017
Reduced,0.1,3.0,298.0,1.0,0.06884169090940735
Reduced,0.2,3.0,298.0,1.0,0.08940775823597688
Reduced,0.3,3.0,298.0,1.0,0.12078928248641974
Reduced,0.4,3.0,298.0,1.0,0.17084284706143582
Reduced,0.5,3.0,298.0,1.0,0.26006428339719495
Reduced,0.6,3.0,298.0,1.0,0.414718350008078
Reduced,0.7,3.0,298.0,1.0,0.6600664737582518
Reduced,0.8,3.0,298.0,1.0,1.0142872724428817
Reduced,0.9,3.0,298.0,1.0,1.537837010403696
Reduced,1.0,3.0,298.0,1.0,2.4037903802705256
Reduced,0.0,5.0,298.0,1.0,0.0474486694499095
Reduced,0.1,5.0,298.0,1.0,0.05958756392853102
Reduced,0.2,5.0,298.0,1.0,0.07702311429850528
Reduced,0.3,5.0,298.0,1.0,0.10203839706225692
Reduced,0.4,5.0,298.0,1.0,0.1421692316675776
Reduced,0.5,5.0,298.0,1.0,0.20913443968175136
Reduced,0.6,5.0,298.0,1.0,0.3296510769355094
Reduced,0.7,5.0,298.0,1.0,0.5367854958961727
Reduced,0.8,5.0,298.0,1.0,0.8668150734449821
Reduced,0.9,5.0,298.0,1.0,1.384412704243985
Reduced,1.0,5.0,298.0,1.0,2.3310681135811606
Optimized,0.0,1.0,298.0,1.0,0.07624447697196074
Optimized,0.1,1.0,298.0,1.0,0.10574167445995489
Optimized,0.2,1.0,298.0,1.0,0.15241548464862575
Optimized,0.3,1.0,298.0,1.0,0.2240501365438806
Optimized,0.4,1.0,298.0,1.0,0.33310684692631654
Optimized,0.5,1.0,298.0,1.0,0.4846014867076347
Optimized,0.6,1.0,298.0,1.0,0.6899637842877459
Optimized,0.7,1.0,298.0,1.0,0.9667543046849294
Optimized,0.8,1.0,298.0,1.0,1.3228129371381245
Optimized,0.9,1.0,298.0,1.0,1.7634206643987995
Optimized,1.0,1.0,298.0,1.0,2.388373230783036
Optimized,0.0,3.0,298.0,1.0,0.045775083958167005
Optimized,0.1,3.0,298.0,1.0,0.06308682152055696
Optimized,0.2,3.0,298.0,1.0,0.09002338347248177
Optimized,0.3,3.0,298.0,1.0,0.13235234009513178
Optimized,0.4,3.0,298.0,1.0,0.20284214071961826
Optimized,0.5,3.0,298.0,1.0,0.3112874962142096
Optimized,0.6,3.0,298.0,1.0,0.4748961247207098
Optimized,0.7,3.0,298.0,1.0,0.7105014431945265
Optimized,0.8,3.0,298.0,1.0,1.0504966564444274
Optimized,0.9,3.0,298.0,1.0,1.563465988536324
Optimized,1.0,3.0,298.0,1.0,2.403601128886374
Optimized,0.0,5.0,298.0,1.0,0.03391612745702538
Optimized,0.1,5.0,298.0,1.0,0.04626410444358383
Optimized,0.2,5.0,298.0,1.0,0.06546095519444552
Optimized,0.3,5.0,298.0,1.0,0.09611162640079439
Optimized,0.4,5.0,298.0,1.0,0.14768735386420143
Optimized,0.5,5.0,298.0,1.0,0.23312882587596473
Optimized,0.6,5.0,298.0,1.0,0.3668530217095191
Optimized,0.7,5.0,298.0,1.0,0.5736938309972902
Optimized,0.8,5.0,298.0,1.0,0.8896873219825485
Optimized,0.9,5.0,298.0,1.0,1.4043030688479239
Optimized,1.0,5.0,298.0,1.0,2.332278751783819
Full,0.4,1.0,298.0,0.7,0.1497913921535254
Full,0.4,1.0,298.0,0.8,0.20456528121114512
Full,0.4,1.0,298.0,0.9,0.2552358837477831
Full,0.4,1.0,298.0,1.0,0.29754435519510186
Full,0.4,1.0,298.0,1.1,0.3196241792137156
Full,0.4,1.0,298.0,1.2,0.29614297142400725
Full,0.4,1.0,298.0,1.3,0.2556249188519132
Full,0.4,1.0,298.0,1.4,0.22027387086365274
Full,0.4,1.0,298.0,1.5,0.19179117971199083
Full,0.4,3.0,298.0,0.7,0.08415571330468623
Full,0.4,3.0,298.0,0.8,0.12080804282646358
Full,0.4,3.0,298.0,0.9,0.1513260824070129
Full,0.4,3.0,298.0,1.0,0.17734114524578903
Full,0.4,3.0,298.0,1.1,0.19787282800152556
Full,0.4,3.0,298.0,1.2,0.1858609109673729
Full,0.4,3.0,298.0,1.3,0.16460269484835321
Full,0.4,3.0,298.0,1.4,0.14261210800007015
Full,0.4,3.0,298.0,1.5,0.12338226665987609
Full,0.4,5.0,298.0,0.7,0.06196764724627736
Full,0.4,5.0,298.0,0.8,0.09168976811143596
Full,0.4,5.0,298.0,0.9,0.11672230257432428
Full,0.4,5.0,298.0,1.0,0.1363773912991623
Full,0.4,5.0,298.0,1.1,0.15430459262869495
Full,0.4,5.0,298.0,1.2,0.14499111226784583
Full,0.4,5.0,298.0,1.3,0.12721799383878069
Full,0.4,5.0,298.0,1.4,0.1106627548331196
Full,0.4,5.0,298.0,1.5,0.09609376273965368
Reduced,0.4,1.0,298.0,0.7,0.1348887093188042
Reduced,0.4,1.0,298.0,0.8,0.17328295082015
Reduced,0.4,1.0,298.0,0.9,0.20952227641244667
Reduced,0.4,1.0,298.0,1.0,0.23943776353325522
Reduced,0.4,1.0,298.0,1.1,0.24131288954796026
Reduced,0.4,1.0,298.0,1.2,0.21458579026137128
Reduced,0.4,1.0,298.0,1.3,0.2001853815499677
Reduced,0.4,1.0,298.0,1.4,0.1869046766915138
Reduced,0.4,1.0,298.0,1.5,0.17315901123992944
Reduced,0.4,3.0,298.0,0.7,0.0854331466251641
Reduced,0.4,3.0,298.0,0.8,0.11852413256082896
Reduced,0.4,3.0,298.0,0.9,0.14652148199580742
Reduced,0.4,3.0,298.0,1.0,0.17084284706143582
Reduced,0.4,3.0,298.0,1.1,0.18021797116719568
Reduced,0.4,3.0,298.0,1.2,0.17015595237661071
Reduced,0.4,3.0,298.0,1.3,0.15977233331257015
Reduced,0.4,3.0,298.0,1.4,0.1475065607137025
Reduced,0.4,3.0,298.0,1.5,0.13478340117283993
Reduced,0.4,5.0,298.0,0.7,0.0655919103628151
Reduced,0.4,5.0,298.0,0.8,0.09588997299320784
Reduced,0.4,5.0,298.0,0.9,0.1210456938938576
Reduced,0.4,5.0,298.0,1.0,0.1421692316675776
Reduced,0.4,5.0,298.0,1.1,0.1530087439382097
Reduced,0.4,5.0,298.0,1.2,0.14651342823072797
Reduced,0.4,5.0,298.0,1.3,0.13690756004457336
Reduced,0.4,5.0,298.0,1.4,0.12564068536219403
Reduced,0.4,5.0,298.0,1.5,0.11418417063972992
Optimized,0.4,1.0,298.0,0.7,0.15035326706634947
Optimized,0.4,1.0,298.0,0.8,0.20902662571123362
Optimized,0.4,1.0,298.0,0.9,0.2769082354689437
Optimized,0.4,1.0,298.0,1.0,0.33310684692631654
Optimized,0.4,1.0,298.0,1.1,0.34878618810814405
Optimized,0.4,1.0,298.0,1.2,0.30291297822105034
Optimized,0.4,1.0,298.0,1.3,0.2501523416297606
Optimized,0.4,1.0,298.0,1.4,0.22031332320619923
Optimized,0.4,1.0,298.0,1.5,0.1963827313679849
Optimized,0.4,3.0,298.0,0.7,0.07399083961992087
Optimized,0.4,3.0,298.0,0.8,0.11670607770438927
Optimized,0.4,3.0,298.0,0.9,0.15937590486337042
Optimized,0.4,3.0,298.0,1.0,0.20284214071961826
Optimized,0.4,3.0,298.0,1.1,0.22045334873161157
Optimized,0.4,3.0,298.0,1.2,0.19108533910351877
Optimized,0.4,3.0,298.0,1.3,0.16812453896528629
Optimized,0.4,3.0,298.0,1.4,0.14835095998330947
Optimized,0.4,3.0,298.0,1.5,0.13095417002052528
Optimized,0.4,5.0,298.0,0.7,0.04566022228489798
Optimized,0.4,5.0,298.0,0.8,0.08032959274510766
Optimized,0.4,5.0,298.0,0.9,0.11514765092442142
Optimized,0.4,5.0,298.0,1.0,0.14768735386420143
Optimized,0.4,5.0,298.0,1.1,0.1627125570768197
Optimized,0.4,5.0,298.0,1.2,0.14550521288257182
Optimized,0.4,5.0,298.0,1.3,0.128305730158132
Optimized,0.4,5.0,298.0,1.4,0.11326671922273324
Optimized,0.4,5.0,298.0,1.5,0.10027571006311153
Full,0.0,1.0,298.0,0.8,0.049305354623682456
Full,0.0,1.0,298.0,0.9,0.06315291500575865
Full,0.0,1.0,298.0,1.0,0.07514977990503931
Full,0.0,1.0,298.0,1.1,0.08688806315700609
Full,0.0,1.0,298.0,1.2,0.08145336700129029
Full,0.0,1.0,298.0,1.3,0.07002829528586334
Full,0.0,1.0,298.0,1.4,0.05885699663797278
Full,0.05,1.0,298.0,0.8,0.05771516885772524
Full,0.05,1.0,298.0,0.9,0.0733191505875154
Full,0.05,1.0,298.0,1.0,0.08661266907775855
Full,0.05,1.0,298.0,1.1,0.0992077468429615
Full,0.05,1.0,298.0,1.2,0.09307224467591643
Full,0.05,1.0,298.0,1.3,0.08059108277771883
Full,0.05,1.0,298.0,1.4,0.0684802685217103
Full,0.2,1.0,298.0,0.8,0.09655808252203137
Full,0.2,1.0,298.0,0.9,0.12043741397482124
Full,0.2,1.0,298.0,1.0,0.14073779826213106
Full,0.2,1.0,298.0,1.1,0.15396766614775087
Full,0.2,1.0,298.0,1.2,0.1442543497475565
Full,0.2,1.0,298.0,1.3,0.1279354643938762
Full,0.2,1.0,298.0,1.4,0.10961172912804605
Full,0.4,1.0,298.0,0.8,0.20456528121114512
Full,0.4,1.0,298.0,0.9,0.2552358837477831
Full,0.4,1.0,298.0,1.0,0.29754435519510186
Full,0.4,1.0,298.0,1.1,0.3196241792137156
Full,0.4,1.0,298.0,1.2,0.29614297142400725
Full,0.4,1.0,298.0,1.3,0.2556249188519132
Full,0.4,1.0,298.0,1.4,0.22027387086365274
Full,0.6,1.0,298.0,0.8,0.4221496904629887
Full,0.6,1.0,298.0,0.9,0.527397241918921
Full,0.6,1.0,298.0,1.0,0.6189283606107666
Full,0.6,1.0,298.0,1.1,0.6735376956599932
Full,0.6,1.0,298.0,1.2,0.6755093096096344
Full,0.6,1.0,298.0,1.3,0.6314737184874791
Full,0.6,1.0,298.0,1.4,0.5617332628894045
Full,0.0,1.0,373.0,0.8,0.07905230858482896
Full,0.0,1.0,373.0,0.9,0.09839590933688282
Full,0.0,1.0,373.0,1.0,0.11528144886862154
Full,0.0,1.0,373.0,1.1,0.12944616930647143
Full,0.0,1.0,373.0,1.2,0.12288183248533809
Full,0.0,1.0,373.0,1.3,0.10799250065019673
Full,0.0,1.0,373.0,1.4,0.09247874007706926
Full,0.05,1.0,373.0,0.8,0.09179607229523741
Full,0.05,1.0,373.0,0.9,0.11384875953242324
Full,0.05,1.0,373.0,1.0,0.13243923110972403
Full,0.05,1.0,373.0,1.1,0.14732719127732744
Full,0.05,1.0,373.0,1.2,0.14072165165612727
Full,0.05,1.0,373.0,1.3,0.1236059432841642
Full,0.05,1.0,373.0,1.4,0.10621026056181315
Full,0.2,1.0,373.0,0.8,0.15117715537464907
Full,0.2,1.0,373.0,0.9,0.18452031461322174
Full,0.2,1.0,373.0,1.0,0.21199628257898154
Full,0.2,1.0,373.0,1.1,0.22755296034203254
Full,0.2,1.0,373.0,1.2,0.21357893699267905
Full,0.2,1.0,373.0,1.3,0.1915511474870135
Full,0.2,1.0,373.0,1.4,0.1673417311072979
Full,0.4,1.0,373.0,0.8,0.3154892102476157
Full,0.4,1.0,373.0,0.9,0.38501726471790837
Full,0.4,1.0,373.0,1.0,0.4419209624937821
Full,0.4,1.0,373.0,1.1,0.4663415639330763
Full,0.4,1.0,373.0,1.2,0.43554740491028693
Full,0.4,1.0,373.0,1.3,0.37821161534459197
Full,0.4,1.0,373.0,1.4,0.3282652295123851
Full,0.6,1.0,373.0,0.8,0.6431182018666738
Full,0.6,1.0,373.0,0.9,0.7867623070296174
Full,0.6,1.0,373.0,1.0,0.9057569704987726
Full,0.6,1.0,373.0,1.1,0.9737093793435788
Full,0.6,1.0,373.0,1.2,0.9768241040933844
Full,0.6,1.0,373.0,1.3,0.9198996531159003
Full,0.6,1.0,373.0,1.4,0.8270247639691158
Full,0.0,1.0,423.0,0.8,0.10491591392605078
Full,0.0,1.0,423.0,0.9,0.1288401239197314
Full,0.0,1.0,423.0,1.0,0.14878625328604264
Full,0.0,1.0,423.0,1.1,0.16493397164383117
Full,0.0,1.0,423.0,1.2,0.15753132114136423
Full,0.0,1.0,423.0,1.3,0.14008992809671933
Full,0.0,1.0,423.0,1.4,0.12086169843161315
Full,0.05,1.0,423.0,0.8,0.1214856415510749
Full,0.05,1.0,423.0,0.9,0.14835483136746574
Full,0.05,1.0,423.0,1.0,0.17076364309545314
Full,0.05,1.0,423.0,1.1,0.18655662441174975
Full,0.05,1.0,423.0,1.2,0.17808113170100873
Full,0.05,1.0,423.0,1.3,0.15903727604442244
Full,0.05,1.0,423.0,1.4,0.1385862525066251
Full,0.2,1.0,423.0,0.8,0.1975076109933826
Full,0.2,1.0,423.0,0.9,0.23873296310754522
Full,0.2,1.0,423.0,1.0,0.2711904090742991
Full,0.2,1.0,423.0,1.1,0.28742338506608067
Full,0.2,1.0,423.0,1.2,0.2694962156017306
Full,0.2,1.0,423.0,1.3,0.24340070065585703
Full,0.2,1.0,423.0,1.4,0.21341974711572545
Full,0.4,1.0,423.0,0.8,0.40789294423830363
Full,0.4,1.0,423.0,0.9,0.4922606773466747
Full,0.4,1.0,423.0,1.0,0.5593461825630798
Full,0.4,1.0,423.0,1.1,0.5851374772049954
Full,0.4,1.0,423.0,1.2,0.5480374314125934
Full,0.4,1.0,423.0,1.3,0.4778429937439737
Full,0.4,1.0,423.0,1.4,0.4162477789624381
Full,0.6,1.0,423.0,0.8,0.8264301173948378
Full,0.6,1.0,423.0,0.9,0.9978224366228624
Full,0.6,1.0,423.0,1.0,1.1366274659485376
Full,0.6,1.0,423.0,1.1,1.214009824573169
Full,0.6,1.0,423.0,1.2,1.2168202472483802
Full,0.6,1.0,423.0,1.3,1.1506214712851188
Full,0.6,1.0,423.0,1.4,1.0382945071715899
Full,0.0,1.0,473.0,0.8,0.13643157407537054
Full,0.0,1.0,473.0,0.9,0.16467592527142483
Full,0.0,1.0,473.0,1.0,0.18883402517133202
Full,0.0,1.0,473.0,1.1,0.20583599679384673
Full,0.0,1.0,473.0,1.2,0.19742298563691468
Full,0.0,1.0,473.0,1.3,0.1774926803268706
Full,0.0,1.0,473.0,1.4,0.15559160473491457
Full,0.05,1.0,473.0,0.8,0.15759029980808126
Full,0.05,1.0,473.0,0.9,0.1896109726485712
Full,0.05,1.0,473.0,1.0,0.2162115137263285
Full,0.05,1.0,473.0,1.1,0.2328397003847677
Full,0.05,1.0,473.0,1.2,0.2224978362528749
Full,0.05,1.0,473.0,1.3,0.20075610382705883
Full,0.05,1.0,473.0,1.4,0.17668501754575833
Full,0.2,1.0,473.0,0.8,0.25423814385571475
Full,0.2,1.0,473.0,0.9,0.3027016361039175
Full,0.2,1.0,473.0,1.0,0.3411497102749751
Full,0.2,1.0,473.0,1.1,0.35742906908982985
Full,0.2,1.0,473.0,1.2,0.3345337587820005
Full,0.2,1.0,473.0,1.3,0.3018398136332787
Full,0.2,1.0,473.0,1.4,0.26867828793301024
Full,0.4,1.0,473.0,0.8,0.5191167478278127
Full,0.4,1.0,473.0,0.9,0.6204528456445926
Full,0.4,1.0,473.0,1.0,0.6965788597791644
Full,0.4,1.0,473.0,1.1,0.722447819597835
Full,0.4,1.0,473.0,1.2,0.6776476686712171
Full,0.4,1.0,473.0,1.3,0.5941789457741363
Full,0.4,1.0,473.0,1.4,0.5182408404918945
Full,0.6,1.0,473.0,0.8,1.0449842728955114
Full,0.6,1.0,473.0,0.9,1.2492529877459269
Full,0.6,1.0,473.0,1.0,1.4075861064754045
Full,0.6,1.0,473.0,1.1,1.4944927957322311
Full,0.6,1.0,473.0,1.2,1.4928126791746756
Full,0.6,1.0,473.0,1.3,1.414899774893466
Full,0.6,1.0,473.0,1.4,1.2833806287433327
Reduced,0.0,1.0,298.0,0.8,0.04746859245444238
Reduced,0.0,1.0,298.0,0.9,0.0592232626563202
Reduced,0.0,1.0,298.0,1.0,0.06768604717022302
Reduced,0.0,1.0,298.0,1.1,0.07344420222850054
Reduced,0.0,1.0,298.0,1.2,0.07139335049578975
Reduced,0.0,1.0,298.0,1.3,0.06614237348764865
Reduced,0.0,1.0,298.0,1.4,0.05937791918983291
Reduced,0.05,1.0,298.0,0.8,0.054194096967073856
Reduced,0.05,1.0,298.0,0.9,0.06699381761728822
Reduced,0.05,1.0,298.0,1.0,0.0763077954851966
Reduced,0.05,1.0,298.0,1.1,0.08220332847084323
Reduced,0.05,1.0,298.0,1.2,0.080189862745465
Reduced,0.05,1.0,298.0,1.3,0.07436270805838485
Reduced,0.05,1.0,298.0,1.4,0.06719715512123314
Reduced,0.2,1.0,298.0,0.8,0.08418800938019987
Reduced,0.2,1.0,298.0,0.9,0.10164055264829498
Reduced,0.2,1.0,298.0,1.0,0.11494063206770011
Reduced,0.2,1.0,298.0,1.1,0.11907920877390982
