mechanism,XH2_fuel,P_atm,T_K,X_NH3,X_H2O,X_NO,X_N2O
Full,0.0,1.0,1000.0,0.21836520327988912,0.0006258885485340088,4.317599737563372e-06,1.7152868413591218e-05
Full,0.0,1.0,1010.0,0.218206653604111,0.0008460526869887563,5.048732393241991e-06,2.226122849818003e-05
Full,0.0,1.0,1020.0,0.21798876960789987,0.0011491444142762057,5.911123364383568e-06,2.8815741061280965e-05
Full,0.0,1.0,1030.0,0.21768219872428615,0.0015764347916305947,6.948038444898462e-06,3.7301325207016055e-05
Full,0.0,1.0,1040.0,0.2172327161526085,0.002204230293530416,8.235784603230707e-06,4.849903632324133e-05
Full,0.0,1.0,1050.0,0.21651766941087744,0.00320522924564283,9.94037165178797e-06,6.394379545223485e-05
Full,0.0,1.0,1060.0,0.21508232636307698,0.005219976459934954,1.2656540696009208e-05,8.859882527053077e-05
Full,0.0,1.0,1070.0,2.0229169113256956e-07,0.2775917020212944,0.004228731133820055,1.9335483023463966e-07
Full,0.0,1.0,1080.0,1.968020254646239e-07,0.277046040449171,0.004266360959210451,1.952748230059248e-07
Full,0.0,1.0,1090.0,1.9157226622033934e-07,0.27649614015798896,0.004305046437005825,1.9724674691564934e-07
Full,0.0,1.0,1100.0,1.865891090475192e-07,0.2759420645913745,0.004344756626638009,1.9926787407914578e-07
Full,0.0,1.0,1110.0,1.818400242541171e-07,0.2753838771953053,0.004385460633048777,2.0133565407431646e-07
Full,0.0,1.0,1120.0,1.7731320679116776e-07,0.2748216413828422,0.004427127718250149,2.0344770000291552e-07
Full,0.0,1.0,1130.0,1.7299752967958352e-07,0.27425542050216206,0.004469727398466137,2.0560177564743278e-07
Full,0.0,1.0,1140.0,1.6888250064003176e-07,0.27368527780753477,0.004513229527986485,2.0779578365053115e-07
