mechanism,config,distance_cm,T_K,X_NH3,X_H2O,X_NO,X_N2O,X_OH,X_H2,X_O2,X_N2
Full,pure_NH3_350K,0.0,350.0,0.20392933461757282,0.0181113767329661,1.77658326613721e-05,2.3085514874659794e-05,8.48385905897737e-12,0.005026247612264324,0.15796250667617262,0.6149201223683255
Full,pure_NH3_350K,0.007812500000000002,368.4034981117869,0.2013175768653448,0.02170450075987967,2.1635456665229098e-05,2.966127561196596e-05,9.66959521242477e-12,0.005317479096058055,0.156713457823203,0.6148837566557681
Full,pure_NH3_350K,0.015625000000000003,389.5196530121333,0.1983756494343537,0.02578939197272231,2.6160478894963948e-05,3.77362562794188e-05,1.6971023639892087e-11,0.0056139435070557695,0.15526053465424836,0.614881807061019
Full,pure_NH3_350K,0.023437500000000003,413.47737114019554,0.195094964656583,0.030377731326295496,3.14011802458983e-05,4.7526781645934534e-05,3.3964561960865544e-11,0.005914296924706439,0.15358817654554016,0.6149277499844498
Full,pure_NH3_350K,0.03125000000000001,440.36150516455683,0.19147136945418544,0.035472750125012525,3.7417158091286025e-05,5.925107305756945e-05,6.931048038200148e-11,0.006217263546259191,0.1516828201685393,0.6150370091942995
Full,pure_NH3_350K,0.03906250000000001,470.2138761248057,0.18750450971560573,0.0410702871246277,4.426980221440111e-05,7.312565349338429e-05,1.3900881625897601e-10,0.006521681011631005,0.14953294502432082,0.6152264437814908
Full,pure_NH3_350K,0.04296875000000001,486.28848196088813,0.18539019902158124,0.0440588646804785,4.804139388979681e-05,8.09644759203741e-05,1.9786900013184432e-10,0.0066741462782180265,0.14836073673781427,0.6153577265243467
Full,pure_NH3_350K,0.04687500000000001,503.13365548180184,0.1831882362234946,0.0471734299051522,5.205949645383126e-05,8.945496795814692e-05,2.787002599365997e-10,0.0068265960351808685,0.14712107561979607,0.6155170459545132
Full,pure_NH3_350K,0.05078125,520.7443811069929,0.18089936585906438,0.05041187222757235,5.6335919259187415e-05,9.862534413565652e-05,3.889028708833327e-10,0.006978920178219786,0.14581295784990483,0.6157068315501606
Full,pure_NH3_350K,0.05468750000000001,539.1139778693482,0.1785244236970148,0.05377189405096799,6.088417835524e-05,0.00010850320957234253,5.380575920390203e-10,0.007131019199071142,0.14443548272362317,0.6159294928073614
Full,pure_NH3_350K,0.05859375000000001,558.234393953266,0.1760643107707705,0.057251061608344436,6.571996509578906e-05,0.00011911551405937134,7.385577134961259e-10,0.00728280390417515,0.1429878423102714,0.616187404254787
Full,pure_NH3_350K,0.06250000000000001,578.0964862559823,0.17351997048095233,0.06084684991282309,7.086166978343027e-05,0.0001304885104658848,1.0064697374457552e-09,0.007434195003106413,0.14146931157694928,0.6164828928481052
Full,pure_NH3_350K,0.06640625000000001,598.690277146806,0.17089236884493877,0.06455668144102884,7.633095961935995e-05,0.00014264771501034082,1.3627484694528263e-09,0.007585122609214657,0.13987923925456827,0.6168182276946659
Full,pure_NH3_350K,0.07031250000000001,620.0051825435485,0.1681824777974274,0.06837795853804524,8.215341058131923e-05,0.00015561786712710524,1.8350116627779678e-09,0.0077355256932594985,0.13821703964213597,0.6171956119558041
Full,pure_NH3_350K,0.07421875000000003,642.0302071042715,0.16539126131248214,0.07230808979139752,8.83591936019355e-05,0.00016942288675044452,2.460212054170506e-09,0.007885351528903592,0.1364821854831609,0.6176171767004344
Full,pure_NH3_350K,0.07812500000000001,664.7541036347601,0.16251966402173473,0.07634451079225747,9.498381574614389e-05,0.00018408582677133082,3.2887643138538954e-09,0.008034555167341785,0.1346742020060202,0.6180849764357089
Full,pure_NH3_350K,0.08203125000000001,688.1654946854509,0.15956860194103914,0.08048469979310155,0.00010206891560443943,0.00019962881816366505,4.391045998107131e-09,0.008183098977403921,0.13279266219740485,0.6186009860133995
Full,pure_NH3_350K,0.08593750000000001,712.2529547699355,0.15653895488643566,0.08472618879242705,0.00010966310721826653,0.00021607300485375184,5.867777821040814e-09,0.008330952287091888,0.13083718336928316,0.6191670985983503
Full,pure_NH3_350K,0.08984375000000001,737.005051770401,0.15343156016165196,0.08906657053768113,0.00011782285778127648,0.00023343846496856084,7.866711911344034e-09,0.008478091162071402,0.1288074250725446,0.6197851243831891
Full,pure_NH3_350K,0.09375000000000001,762.4103460666877,0.15024720714142023,0.09350350184322075,0.00012661337319757278,0.0002517441149903206,1.0609386370181795e-08,0.0086244983550228,0.1267030883875655,0.6204567897369361
Full,pure_NH3_350K,0.09765625,788.4573459434149,0.14698663246896684,0.09803470347556546,0.00013610945965766846,0.0002710075941313712,1.4431746729384195e-08,0.008770163455881002,0.12452391656719672,0.6211837364803925
Full,pure_NH3_350K,0.099609375,801.7206560009654,0.14532787547353787,0.10033505151632174,0.00014115555179797904,0.0002810060671783843,1.692503701718447e-08,0.008842717701295577,0.12340605330392344,0.6215685664771667
Full,pure_NH3_350K,0.1015625,815.1422336046793,0.14365006904920968,0.10265842980226263,0.0001464143974768554,0.0002912547914003958,1.9910123901439677e-08,0.008915085086233966,0.1222691058179502,0.6219680366840472
Full,pure_NH3_350K,0.103515625,828.7204655109334,0.14195330124341493,0.10500454925202897,0.0001518985974990306,0.00030175550491338764,2.350278494210897e-08,0.008987266403317236,0.1211130638568488,0.6223823263427759
Full,pure_NH3_350K,0.10546875,842.4538144329049,0.14023763880321047,0.10737314445097895,0.00015762171098100843,0.0003125100532013901,2.7845959118945915e-08,0.009059262882425416,0.11993790360622132,0.6228116217356798
Full,pure_NH3_350K,0.10742187500000001,856.3406005231765,0.13850316165227922,0.10976393155849005,0.0001635978731847741,0.00032351993907754953,3.3118083109236614e-08,0.009131076448203322,0.11874362200379507,0.6232560900953013
Full,pure_NH3_350K,0.10937500000000001,870.379203587012,0.1367499283197807,0.11217664916500449,0.00016984225118044555,0.0003347867662829877,3.954156339124914e-08,0.009202709526601618,0.11753020264642124,0.623715905900901
Full,pure_NH3_350K,0.11132812500000001,884.5678452205691,0.1349780106890953,0.11461101645194342,0.00017637061889562008,0.0003463117787296385,4.739365141521616e-08,0.009274165300757005,0.11629765058172821,0.6241912238653463
Full,pure_NH3_350K,0.11328125000000001,898.9047869214478,0.13318745945884106,0.11706677332455712,0.00018319988320186103,0.000358096312541974,5.701875419847886e-08,0.009345447531118104,0.11504595794483186,0.624682205970955
Full,pure_NH3_350K,0.11523437500000001,913.3881135413509,0.13137833913856467,0.11954363891998171,0.00019034762082703667,0.00037014132616308324,6.884443524188812e-08,0.009416560803209498,0.11377513912841325,0.6251889936337022
Full,pure_NH3_350K,0.11718750000000001,928.0159265619259,0.12955069371261038,0.12204135081766,0.00019783269090500253,0.0003824478573878098,8.339936180816903e-08,0.009487510365293193,0.11248519634499994,0.6257117353269399
Full,pure_NH3_350K,0.11914062500000001,942.7861296034941,0.12770458187734432,0.1245596239809833,0.00020567474027146106,0.00039501654536542224,1.0133651736093008e-07,0.00955830236119318,0.11117615508672642,0.6262505580273798
Full,pure_NH3_350K,0.12109375000000003,957.6966161219314,0.12584004309731125,0.127098188834848,0.00021389491901555602,0.00040784808842637515,1.2345896082376618e-07,0.009628943689839187,0.10984802983064487,0.6268055952630969
Full,pure_NH3_350K,0.12304687500000003,972.7450577867668,0.12395713309623219,0.12965675071748764,0.00022251535858768424,0.00042094275869828247,1.5075293194542905e-07,0.00969944221567414,0.1085008597128778,0.6273769579484346
Full,pure_NH3_350K,0.12500000000000003,987.9290858145347,0.12205589051537534,0.13223502659986983,0.000231560003719251,0.0004343008561587589,1.844241240743538e-07,0.009769806654086817,0.10713467461432069,0.627964762680789
Full,pure_NH3_350K,0.12695312500000003,1003.2460831235337,0.12013637268288559,0.13483270511926973,0.0002410540610983275,0.00044792221665454805,2.259439688482719e-07,0.0098400467502719,0.10574953098082886,0.6285691020737798
